entry_time,exit_time,id,side,entry_px,exit_px,pnl_pct,pnl_abs,mfe_pct,exit_reason
2025-05-30 20:07:00+09:00,2025-05-30 20:26:00+09:00,1,1,37903.57,37901.07,-6.595684786419854e-05,-2.5,0.0005936116307777868,SL
2025-05-30 20:44:00+09:00,2025-05-30 20:50:00+09:00,2,-1,37878.57,37898.57,-0.0005280030370734693,-20.0,0.0,STOP_LOSS
2025-05-30 21:50:00+09:00,2025-05-30 21:51:00+09:00,3,-1,37741.07,37718.57,0.0005961675172431518,22.5,0.0005961675172431518,SL
2025-05-30 21:59:00+09:00,2025-05-30 22:02:00+09:00,4,1,37718.57,37736.07,0.0004639624460842497,17.5,0.0004639624460842497,SL
2025-05-30 22:03:00+09:00,2025-05-30 22:07:00+09:00,5,1,37766.07,37741.07,-0.0006619698581292679,-25.0,0.00026478794325170715,STOP_LOSS
2025-05-30 22:37:00+09:00,2025-05-30 23:05:00+09:00,6,-1,37688.57,37728.57,-0.0010613297347179796,-40.0,0.0015919946020769692,STOP_LOSS
2025-05-30 23:13:00+09:00,2025-05-30 23:23:00+09:00,7,1,37753.57,37723.57,-0.0007946268392631478,-30.0,6.621890327192898e-05,STOP_LOSS
2025-06-02 08:49:00+09:00,2025-06-02 08:52:00+09:00,1,1,37593.13,37568.13,-0.0006650151237739449,-25.0,0.0,STOP_LOSS
2025-06-02 09:04:00+09:00,2025-06-02 09:06:00+09:00,2,-1,37498.13,37533.13,-0.0009333798778765768,-35.0,0.0,STOP_LOSS
2025-06-02 10:11:00+09:00,2025-06-02 10:23:00+09:00,3,1,37520.63,37493.13,-0.0007329301240410943,-27.5,0.00026652004510585245,STOP_LOSS
2025-06-02 10:33:00+09:00,2025-06-02 11:23:00+09:00,4,-1,37433.13,37435.63,-6.678575903217284e-05,-2.5,0.0010685721445147654,SL
2025-06-02 11:24:00+09:00,2025-06-02 11:25:00+09:00,5,1,37435.63,37415.63,-0.0005342503919394438,-20.0,0.0,STOP_LOSS
2025-06-02 11:32:00+09:00,2025-06-02 12:42:00+09:00,6,-1,37390.63,37340.63,0.001337233419174804,50.0,0.0020727117997209462,SL
2025-06-02 12:45:00+09:00,2025-06-02 13:04:00+09:00,7,1,37363.13,37348.13,-0.00040146529479730424,-15.0,0.0005352870597297389,STOP_LOSS
